PLAYER,POSITION,TEAM,POSRANK,BYE,MB,MC,TC,EK,FY,AVG
48. Travis Kelce, TE, KC,TE3,10,60,56,46,45,34,48.2
49. Jamison Crowder, WR, WAS,WR25,5,45,51,56,40,52,48.8
50. Bilal Powell, RB, NYJ,RB20,11,50,59,39,43,54,49
51. Danny Woodhead, RB, BAL,RB21,10,54,66,43,51,35,49.8
52. Allen Robinson, WR, JAC,WR26,8,59,38,48,59,53,51.4
53. Tyreek Hill, WR, KC,WR27,10,42,45,66,57,49,51.8
54. Joe Mixon, RB, CIN,RB22,6,62,67,45,30,60,52.8
55. Greg Olsen, TE, CAR,TE4,11,70,54,51,46,44,53
56. Sammy Watkins, WR, LAR,WR28,8,58,37,55,67,48,53
57. Drew Brees, QB, NO,QB3,5,56,57,54,50,62,55.8
58. Martavis Bryant, WR, PIT,WR29,9,44,50,62,68,64,57.6
59. Pierre Garcon, WR, SF,WR30,11,51,61,71,70,37,58
60. Stefon Diggs, WR, MIN,WR31,9,61,46,67,61,57,58.4
61. Mark Ingram, RB, NO,RB23,5,71,58,40,54,69,58.4
62. Frank Gore, RB, IND,RB24,11,72,68,53,53,59,61
63. Brandon Marshall, WR, NYG,WR32,8,41,79,77,58,58,62.6
64. DeVante Parker, WR, MIA,WR33,1,52,52,76,72,65,63.4
65. Theo Riddick, RB, DET,RB25,7,86,73,52,73,66,70
66. Adrian Peterson, RB, NO,RB26,5,64,72,78,65,76,71
67. Matt Ryan, QB, ATL,QB4,5,65,60,68,90,72,71
68. C.J. Anderson, RB, DEN,RB27,5,74,69,75,64,74,71.2
69. Rob Kelley, RB, WAS,RB28,5,69,78,84,62,63,71.2
70. Ameer Abdullah, RB, DET,RB29,7,79,71,57,74,85,73.2
71. Jeremy Maclin, WR, BAL,WR34,10,73,53,87,86,71,74
72. Paul Perkins, RB, NYG,RB30,8,82,75,69,63,86,75
73. Mike Gillislee, RB, NE,RB31,9,97,102,65,55,61,76
74. Eric Decker, WR, TEN,WR35,8,53,88,91,87,82,80.2
75. DeSean Jackson, WR, TB,WR36,1,103,81,86,69,68,81.4
76. Terrance West, RB, BAL,RB32,10,78,76,63,78,113,81.6
77. Duke Johnson Jr., RB, CLE,RB33,9,96,74,64,77,103,82.8
78. Jimmy Graham, TE, SEA,TE5,6,91,63,70,100,97,84.2
79. Russell Wilson, QB, SEA,QB5,6,67,99,73,91,95,85
80. Mike Wallace, WR, BAL,WR37,10,77,85,94,89,81,85.2
81. Adam Thielen, WR, MIN,WR38,9,76,86,83,88,93,85.2
82. Tevin Coleman, RB, ATL,RB34,5,94,84,72,75,102,85.4
83. Donte Moncrief, WR, IND,WR39,11,80,82,80,85,101,85.6
84. Kenny Britt, WR, CLE,WR40,9,100,87,89,71,83,86
85. Matt Forte, RB, NYJ,RB35,11,75,104,82,101,78,88
86. Chris Hogan, WR, NE,WR41,9,57,94,111,106,75,88.6
87. Delanie Walker, TE, TEN,TE6,8,95,92,88,99,73,89.4
88. Kyle Rudolph, TE, MIN,TE7,9,93,62,59,124,110,89.6
89. Tyrell Williams, WR, LAC,WR42,9,99,91,95,66,100,90.2
90. Cam Newton, QB, CAR,QB6,11,104,70,81,92,104,90.2
91. Kirk Cousins, QB, WAS,QB7,5,68,100,92,93,98,90.2
92. James White, RB, NE,RB36,9,81,107,85,103,77,90.6
93. Doug Martin, RB, TB,RB37,1,83,77,112,82,105,91.8
94. Eddie Lacy, RB, SEA,RB38,6,101,103,106,79,80,93.8
